headline,press,created_at,relation,prosorcons
[책]'전기차 지각생' 토요타가 달리는 법,이데일리,2024.07.24.,1,w
‘유네스코 자연유산’ 일본 섬에 현대차 전기버스 달린다,중앙일보,2024.07.24.,2,w
일본으로 불똥 튄 바이든 사퇴…기시다 불출마론 확산,중앙일보,2024.07.24.,1,w
[기고] 체코는 시작일 뿐… 세계의 원전 르네상스 시작됐다,조선일보,2024.07.25.,1,w
[사설]2분기 마이너스 성장… 석 달도 못 넘긴 “교과서적 성장”,동아일보,2024.07.25.,1,y
이숙연 “요즘 백일 땐 금반지 대신 주식” 황당한 답변,경향신문,2024.07.25.,1,y
‘탄소 문맹’ 벗어날 ‘탄소중립 참고서’ 만든다,경향신문,2024.07.25.,2,y
"수출·민간소비 주춤, 한국경제 ‘뒷걸음질’…2분기 성장률 -0.2%",국제신문,2024.07.25.,2,y
전분기' 깜짝성장' 기저효과 탓… 年 2.5% 성장은 '유효' [2분기 GDP -0.2%...,파이낸셜뉴스,2024.07.25.,2,y
"[외신사진 속 이슈人] 물폭탄 태풍 `개미`에 대만 초토화, 사상자 수백명...",디지털타임스,2024.07.25.,1,y
배우자·두 자녀 상속하면 17억 원까지 세금 면제 [세법 개정안],부산일보,2024.07.25.,1,y
'韓경제 쌍끌이' 반도체·차 역대급 질주…배터리는 털썩,이데일리,2024.07.25.,1,w
"불황터널 갇힌 철강업… 포스코·현대제철, 2분기 영업익 후퇴",파이낸셜뉴스,2024.07.25.,1,w
"가전 끌고 전장 밀고… LG전자, 매출·영업익 ‘새 기록’",파이낸셜뉴스,2024.07.25.,1,w
6.42% 오른 기준 중위소득… 생계급여 月 195만원 받는다,서울신문,2024.07.25.,1,w
6조 쏟아부은 '기업 마케팅 올림픽',매일경제,2024.07.25.,1,w
가상자산 과세 2년간 유예 결혼부부 100만원 세액공제,매일경제,2024.07.25.,1,w
"역대급 실적 LG전자, AI기업으로 전환 속도",한국경제,2024.07.25.,1,y
내수 얼어붙고 수출 주춤 … 금리인하 미루다 성장 엔진 꺼질판,매일경제,2024.07.25.,2,n
"트럼프 2기는 1기와 달라… ""AI·전력·정유株 주목해야""",서울경제,2024.07.25.,2,y
축구인생 에세이 낸 정몽규 회장,매일경제,2024.07.25.,2,y
"‘하이브리드가 효자’..현대차,2Q 영업익 4.3조 ‘사상 최대’ 경신(종...",이데일리,2024.07.25.,1,n
"고부가車·환율효과 … 현대차, 영업익 신기록",매일경제,2024.07.25.,1,y
"韓경제, 1년 6개월 만에 역성장…수출도 성장세 끌긴 역부족",이데일리,2024.07.25.,1,n
"""AI는 막연한 미래 아닌 당장 돈 벌어주는 효자""",매일경제,2024.07.25.,2,w
"현대차 ""트럼프 당선돼도 IRA 폐기 어려울 것""",아시아경제,2024.07.25.,1,w
기준 중위소득 6.4%↑…생계급여 1조 더 든다,서울경제,2024.07.25.,1,w
"국회의장 만난 손경식 ""노란봉투법 입법 중단해야""",서울경제,2024.07.25.,2,w
"현대차 ""메타플랜트서 하이브리드 생산 대폭 확대""",서울경제,2024.07.25.,2,y
현대차 또 매출·영업익 '신기록'…하이브리드·SUV가 끌었다,서울경제,2024.07.25.,1,y
“탄소 문맹” 벗어날 공급망 탄소 데이터 플랫폼 만든다,경향신문,2024.07.25.,2,w
"현대차, 전기차 캐즘 속 '분기 최대 실적' 다시 썼다",전자신문,2024.07.25.,1,y
"현대차, 분기 역대 최대 실적 경신…수출·고부가 차량 판매 확대",전자신문,2024.07.25.,1,y
"손경식 경총 회장 ""노란봉투법 입법 멈춰야""…우원식 ""사회적 대화 필요...",매일신문,2024.07.25.,2,w
[데스크라인]삼성전자 노사 '역지사지' 필요,전자신문,2024.07.25.,2,w
"LG화학, 2분기 실적 ‘선방’…양극재 투자 늦춘다(종합)",이데일리,2024.07.25.,1,w
공급망 탄소 규제 민-관 대응나선다…'탄소데이터 플랫폼' 구축,전자신문,2024.07.25.,2,w
"내년 기준중위소득 3년 연속 최대폭 인상..稅부족에도 ""약자 복지 확대...",머니투데이,2024.07.25.,2,w
'클린스만 논란' 등 담아…정몽규 회장 '축구 회고록' 출간,서울경제,2024.07.25.,1,w
[르포]현대차 기술과 양궁의 만남...'파리 금빛 화살' 함께 쏴보세요!,한국일보,2024.07.25.,1,y
"대법, 한국지엠 불법파견 인정...""직접 고용해야""",머니투데이,2024.07.25.,2,n
2분기 GDP -0.2% 6분기만에 ‘역성장’ … 한은은 “年 2.5%달성 가능”,문화일보,2024.07.25.,1,n
"대법, 한국지엠 불법파견 인정…""직접 지휘·감독 받는 근로자""",이데일리,2024.07.25.,1,n
“스크린 경기장서 양궁의 매력 느껴보세요”,문화일보,2024.07.25.,2,w
태백시 하계휴가철 특별교통대책 추진,강원일보,2024.07.25.,1,w
"“양궁 매력 느껴보세요”...현대차그룹, 양궁 체험 행사",헤럴드경제,2024.07.25.,2,y
손경식 회장 “기업가 정신 발휘될 환경 만들어달라”,헤럴드경제,2024.07.25.,2,w
"호서대, 전국 대학 산학단 최초 팁스 운영사 선정",대전일보,2024.07.25.,2,w
'6분 충전·640km 주행' 수소차 굴리는 中…문제는 '가성비'[르포],이데일리,2024.07.25.,1,y
2분기 GDP 0.2% 뒷걸음질... 하반기도 내수 부진 지속돼,디지털타임스,2024.07.25.,2,w
"인터엑스, 자율형공장 선도 모델 제시...중기부 구축 사업 지원",전자신문,2024.07.25.,2,w
"국회의장 만난 경총 회장단 ""법인세 낮추고 노조법 개정 막아야""",아시아경제,2024.07.25.,1,w
정몽규 축구협회장 회고록 `축구의 시대` 출간,디지털타임스,2024.07.25.,1,w
"국회의장 만난 손경식 ""노란봉투법 유감""",디지털타임스,2024.07.25.,1,w
"정몽규 회장, 30년 축구경영 회고 '축구의 시대' 출간",이데일리,2024.07.25.,1,w
"전북자치도, 이차전지·바이오·수소 등 미래 신산업 지도 완성 박차",전자신문,2024.07.25.,2,w
태극궁사 처럼…가상 경기장서 '양궁 슈팅' 체험,서울경제,2024.07.25.,1,w
"""예상보다 내수 더 나빠"" 2분기 성장률 -0.2%(종합)",아시아경제,2024.07.25.,1,w
클로바 스튜디오로 원하는 생성형 AI ‘뚝딱’ … 기업 2000여곳서 활용...,문화일보,2024.07.25.,1,y
드론·이동형 CCTV로 ‘지능형 공장’ 구축… 안전·효율 多 잡는다 [AI ...,문화일보,2024.07.25.,1,n
새 수장 맞는 하이브… 어도어 민희진과는 또 난타전,국민일보,2024.07.25.,2,w
[단독] 최신 출고 차량에 오류라니… 제네시스 무상수리 안내,국민일보,2024.07.25.,1,w
"[대일논단] 사라질 플라스틱, 살아남는 플라스틱",대전일보,2024.07.25.,2,w
7월 기업 체감경기 5개월 만에 하락 전환…내수부진 탓,아시아경제,2024.07.25.,2,w
[국민의 기업] 자동차 검사부터 드론·철도·항공까지…미래 모빌리티 ...,중앙일보,2024.07.25.,1,w
[국민의 기업] ‘이천년의 보물’ 의림지 … 디지털 콘텐츠·굿즈로도 ...,중앙일보,2024.07.25.,1,n
미래 모빌리티 혁신 박차… 안전 책임진다,서울신문,2024.07.25.,1,n
[김영익의 경제 통찰] 미국이 보호무역주의에 앞장선 이유는,서울신문,2024.07.25.,2,w
하이브 새 CEO에 이재상 내정,서울신문,2024.07.25.,2,n
[데스크 시각] 중국의 길이 이상하다,서울신문,2024.07.25.,1,n
"손경식 “노조법 개정, 산업생태계 붕괴”… 의원 300명에 서한",서울신문,2024.07.25.,1,w
"한국, 수출로 먹고사는데… 트럼프發 ‘관세 전쟁’ 먹잇감 될라 [딥 인...",서울신문,2024.07.25.,2,y
이진숙 ‘MBC 파업 대응 여론전’ 용역대금 2억5천…의뢰 계약서 확인,한겨레,2024.07.25.,2,y
인천글로벌캠퍼스의 착실한 성장… 올 봄학기 입학생 23% 증가,동아일보,2024.07.25.,1,y
건설 구조재에 탄소섬유 활용해 안전성 강화,동아일보,2024.07.25.,1,y
미래 첨단산업의 핵심소재 개발… ‘K-Carbon 플래그십’ 추진,동아일보,2024.07.25.,1,y
年매출액 15% 이상… 연구개발 집중 투자,동아일보,2024.07.25.,2,y
자동차 LED 기술 인정… 수출도 활발,동아일보,2024.07.25.,1,y
컨버터-인버터 기술로 세계 시장 개척,동아일보,2024.07.25.,2,y
바닥 모를 리튬 가격 추락… 값싼 전기차 기대감 ‘쑥’[딥다이브],동아일보,2024.07.25.,2,y
너무 올렸나… 빗썸 ‘4% 금리’ 하루만에 철회,조선일보,2024.07.25.,2,y
석유제품 수출 역대 최대…반도체·자동차 이어 3위,중앙일보,2024.07.25.,1,y
[최준영의 Energy 지정학] 의외의 원전 강국 체코… 국민 70%의 적극 찬성...,조선일보,2024.07.25.,1,y
"재계, 노란봉투법 저지 총력전 “산업현장 무법천지로 변할 것”",중앙일보,2024.07.25.,2,y
차값 깎아주다 이익 33% 깎였다…테슬라 2분기 어닝 쇼크,중앙일보,2024.07.25.,2,w
로템도 1조 클럽…'팀 현대차그룹' 연매출 450조 달할 듯,한국경제,2024.07.26.,1,y
"RV·하이브리드 집중 통했다 … 기아, 실적 3관왕",매일경제,2024.07.26.,1,n
